TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15
DE102920VENLINE01,6,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,63.5,6.35,1000,N,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,CONNECTICUT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|UNDERCHARGED|PAYCALCULATED|RANGE|613.500000|-3.5|63.5|60|N
DE102920VENLINE01,7,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,75,7,1000,N,,"SELLER_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,FLORIDA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|OVERCHARGED|PAYCHARGED|RANGE|613.500000|5.0|70.0|75|N
DE102920VENLINE01,8,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,60,6,1000,N,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,MARYLAND,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|OVERCHARGED|PAYCALCULATED|RANGE|613.500000|15.0|60.0|75|N
DE102920VENLINE01,9,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,85,6,1000,N,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|OVERCHARGED|PAYCHARGEDACCRCREDIT|RANGE|613.500000|25.0|60.0|85|N
DE102920VENLINE01,9,"VERTEX US TAX",STATE,STD,ST-VTL-390000000,-25,6,-416.51,Y,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|OVERCHARGED|PAYCHARGEDACCRCREDIT|RANGE|613.500000|25.0|60.0|85|N
DE102920VENLINE01,10,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,68.5,6.85,1000,N,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,GRAND,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|MATCHED|PAYCHARGED||613.500000|0.0|68.5|68.5|N
DE102920VENLINE01,11,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,90,9,0,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678||||,FAIRHOPE,EXEMPT|DEFAULT|Exempt||||||||F,321|799.25|MATCHED|PAYCHARGED||613.500000|0.0|90.0|90|N
DE102920VENLINE01,12,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,0,0,0,N,,"SELLER_USE|Occupation Use Tax / No Sales or Use Tax Imposed|General Sales and Use Tax",SUPREGIMELEVELREG123||||,DELAWARE,NONTAXABLE|DEFAULT|||||||||F,321|799.25|OVERCHARGED|PAYCALCULATED|OVERRIDE|613.500000|20.0|0.0|20|N
DE102920VENLINE02,22,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,22.5,2.25,1000,Y,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,321|814.25|ZEROCHARGED|ACCRUEALL|RANGE|613.500000|-92.5|||N
DE102920VENLINE02,22,"VERTEX US TAX",STATE,STD,ST-VTL-430000000,0,0,0,Y,,"CONSUMERS_USE|State Single Article Tax|Additional Sales and Use Tax",SUPREGIMELEVELREG123||||,TENNESSEE,NONTAXABLE|DEFAULT||TIERED|||||||F,321|814.25|ZEROCHARGED|ACCRUEALL|RANGE|613.500000|-92.5|||N
DE102920VENLINE02,22,"VERTEX US TAX",STATE,STD,ST-VTL-430000000,70,7,1000,Y,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,TENNESSEE,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|814.25|ZEROCHARGED|ACCRUEALL|RANGE|613.500000|-92.5|||N
DE102920VENLINE02,23,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,0,6,1000,N,,"SALES|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|814.25|ZEROCHARGED|PAYCHARGED|RANGE|613.500000|-60.0|60.0|0|N
DE102920VENLINE02,24,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,68.5,6.85,1000,N,,"SELLER_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,UTAH,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|814.25|ZEROCHARGED|PAYCALCULATED|RANGE|613.500000|-68.5|68.5|0|N
DE102920VENLINE02,25,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,70,9.25,1000,N,,"SELLER_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,TENNESSEE,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|814.25|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|613.500000|-22.5|92.5|70|N
DE102920VENLINE02,25,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,5.47,2.25,243.24,Y,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,321|814.25|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|613.500000|-22.5|92.5|70|N
DE102920VENLINE02,25,"VERTEX US TAX",STATE,STD,ST-VTL-430000000,0,0,0,Y,,"CONSUMERS_USE|State Single Article Tax|Additional Sales and Use Tax",SUPREGIMELEVELREG123||||,TENNESSEE,NONTAXABLE|DEFAULT||TIERED|||||||F,321|814.25|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|613.500000|-22.5|92.5|70|N
DE102920VENLINE02,25,"VERTEX US TAX",STATE,STD,ST-VTL-430000000,17.03,7,243.24,Y,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,TENNESSEE,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|814.25|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|613.500000|-22.5|92.5|70|N
DE102920VENLINE02,26,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,70,8.88,1000,N,,"SELLER_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax",SITE12345678||||,"METROPOLITAN COMMUTER TRANSPORTATION DISTRICT",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|814.25|UNDERCHARGED|PAYCHARGED|RANGE|613.500000|-18.75|88.75|70|N
DE102920VENLINE02,27,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,63.5,6.35,1000,N,,"SELLER_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,CONNECTICUT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|814.25|UNDERCHARGED|PAYCALCULATED|RANGE|613.500000|-3.5|63.5|60|N
DE102920VENLINE02,28,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,75,7,1000,N,,"SELLER_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,FLORIDA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|814.25|OVERCHARGED|PAYCHARGED|RANGE|613.500000|5.0|70.0|75|N
DE102920VENLINE02,29,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,60,6,1000,N,,"SELLER_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,MARYLAND,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|814.25|OVERCHARGED|PAYCALCULATED|RANGE|613.500000|15.0|60.0|75|N
DE102920VENLINE02,30,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,85,6,1000,N,,"SALES|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|814.25|OVERCHARGED|PAYCHARGEDACCRCREDIT|RANGE|613.500000|25.0|60.0|85|N
DE102920VENLINE02,30,"VERTEX US TAX",STATE,STD,ST-VTL-390000000,-25,6,-416.51,Y,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|814.25|OVERCHARGED|PAYCHARGEDACCRCREDIT|RANGE|613.500000|25.0|60.0|85|N
DE102920VENLINE02,31,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,68.5,6.85,1000,N,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,UTAH,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|814.25|MATCHED|PAYCHARGED||613.500000|0.0|68.5|68.5|N
DE102920VENLINE02,32,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,90,9,1000,N,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,BALDWIN,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|814.25|MATCHED|PAYCHARGED||613.500000|0.0|90.0|90|N
DE102920VENLINE02,33,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,0,0,0,N,,"CONSUMERS_USE|Occupation Use Tax / No Sales or Use Tax Imposed|General Sales and Use Tax",SUPREGIMELEVELREG123||||,DELAWARE,NONTAXABLE|DEFAULT|||||||||F,321|814.25|OVERCHARGED|PAYCALCULATED|OVERRIDE|613.500000|20.0|0.0|20|N
DE102920VENLINE03,43,"VERTEX US TAX",COUNTY,STD,CO-VTL-111210000,27.5,2.75,1000,Y,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,FULTON,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|ZEROCHARGED|ACCRUEALL|RANGE|546.000000|-77.5|||N
DE102920VENLINE03,43,"VERTEX US TAX",SALES_TAX_DISTRICT_1,STD,DI-VTL-78130,10,1,1000,Y,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,"METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|ZEROCHARGED|ACCRUEALL|RANGE|546.000000|-77.5|||N
DE102920VENLINE03,43,"VERTEX US TAX",STATE,STD,ST-VTL-110000000,40,4,1000,Y,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,GEORGIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|ZEROCHARGED|ACCRUEALL|RANGE|546.000000|-77.5|||N
DE102920VENLINE03,44,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,0,6,1000,N,,"SALES|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|ZEROCHARGED|PAYCHARGED|RANGE|546.000000|-60.0|60.0|0|N
DE102920VENLINE03,45,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,68.5,6.85,1000,N,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,GRAND,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|ZEROCHARGED|PAYCALCULATED|RANGE|546.000000|-68.5|68.5|0|N
DE102920VENLINE03,46,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,2.5,9.25,0,N,,"CONSUMERS_USE|State Single Article Tax|Additional Sales and Use Tax",SUPREGIMELEVELREG123||||,TENNESSEE,NONTAXABLE|DEFAULT||TIERED|||||||F,321|799.25|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|546.000000|-90.0|92.5|2.5|N
DE102920VENLINE03,46,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,21.89,2.25,972.97,Y,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,321|799.25|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|546.000000|-90.0|92.5|2.5|N
DE102920VENLINE03,46,"VERTEX US TAX",STATE,STD,ST-VTL-430000000,0,0,0,Y,,"CONSUMERS_USE|State Single Article Tax|Additional Sales and Use Tax",SUPREGIMELEVELREG123||||,TENNESSEE,NONTAXABLE|DEFAULT||TIERED|||||||F,321|799.25|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|546.000000|-90.0|92.5|2.5|N
DE102920VENLINE03,46,"VERTEX US TAX",STATE,STD,ST-VTL-430000000,68.11,7,972.97,Y,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,TENNESSEE,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|546.000000|-90.0|92.5|2.5|N
DE102920VENLINE03,47,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,70,8.88,1000,N,,"SELLER_USE|Sales and Compensating Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|UNDERCHARGED|PAYCHARGED|RANGE|546.000000|-18.75|88.75|70|N
DE102920VENLINE03,48,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,63.5,6.35,1000,N,,"SELLER_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,CONNECTICUT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|UNDERCHARGED|PAYCALCULATED|RANGE|546.000000|-3.5|63.5|60|N
DE102920VENLINE03,49,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,75,7,1000,N,,"SELLER_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,FLORIDA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|OVERCHARGED|PAYCHARGED|RANGE|546.000000|5.0|70.0|75|N
DE102920VENLINE03,50,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,60,6,1000,N,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,MARYLAND,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|OVERCHARGED|PAYCALCULATED|RANGE|546.000000|15.0|60.0|75|N
DE102920VENLINE03,51,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,85,6,1000,N,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|OVERCHARGED|PAYCHARGEDACCRCREDIT|RANGE|546.000000|25.0|60.0|85|N
DE102920VENLINE03,51,"VERTEX US TAX",STATE,STD,ST-VTL-390000000,-25,6,-416.51,Y,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|OVERCHARGED|PAYCHARGEDACCRCREDIT|RANGE|546.000000|25.0|60.0|85|N
DE102920VENLINE03,52,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,68.5,6.85,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678||||,"CASTLE VALLEY",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|MATCHED|PAYCHARGED||546.000000|0.0|68.5|68.5|N
DE102920VENLINE03,53,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,90,9,1000,N,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,BALDWIN,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|MATCHED|PAYCHARGED||546.000000|0.0|90.0|90|N
DE102920VENLINE03,54,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,0,0,0,N,,"SELLER_USE|Occupation Use Tax / No Sales or Use Tax Imposed|General Sales and Use Tax",SUPREGIMELEVELREG123||||,DELAWARE,NONTAXABLE|DEFAULT|||||||||F,321|799.25|OVERCHARGED|PAYCALCULATED|OVERRIDE|546.000000|20.0|0.0|20|N
DE102920VENLINE04,64,"VERTEX US TAX",COUNTY,STD,CO-VTL-111210000,27.5,2.75,1000,Y,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,FULTON,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|ZEROCHARGED|ACCRUEALL|RANGE|688.500000|-77.5|||N
DE102920VENLINE04,64,"VERTEX US TAX",SALES_TAX_DISTRICT_1,STD,DI-VTL-78130,10,1,1000,Y,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,"METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|ZEROCHARGED|ACCRUEALL|RANGE|688.500000|-77.5|||N
DE102920VENLINE04,64,"VERTEX US TAX",STATE,STD,ST-VTL-110000000,40,4,1000,Y,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,GEORGIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|ZEROCHARGED|ACCRUEALL|RANGE|688.500000|-77.5|||N
DE102920VENLINE04,65,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,0,6,1000,N,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|ZEROCHARGED|PAYCHARGED|RANGE|688.500000|-60.0|60.0|0|N
DE102920VENLINE04,66,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,68.5,6.85,1000,N,,"SELLER_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,UTAH,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|ZEROCHARGED|PAYCALCULATED|RANGE|688.500000|-68.5|68.5|0|N
DE102920VENLINE04,67,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,70,9.25,1000,N,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,321|799.25|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|688.500000|-22.5|92.5|70|N
DE102920VENLINE04,67,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,5.47,2.25,243.24,Y,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,321|799.25|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|688.500000|-22.5|92.5|70|N
DE102920VENLINE04,67,"VERTEX US TAX",STATE,STD,ST-VTL-430000000,0,0,0,Y,,"CONSUMERS_USE|State Single Article Tax|Additional Sales and Use Tax",SUPREGIMELEVELREG123||||,TENNESSEE,NONTAXABLE|DEFAULT||TIERED|||||||F,321|799.25|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|688.500000|-22.5|92.5|70|N
DE102920VENLINE04,67,"VERTEX US TAX",STATE,STD,ST-VTL-430000000,17.03,7,243.24,Y,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,TENNESSEE,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|688.500000|-22.5|92.5|70|N
DE102920VENLINE04,68,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,70,8.88,1000,N,,"SELLER_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax",SITE12345678||||,"METROPOLITAN COMMUTER TRANSPORTATION DISTRICT",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|UNDERCHARGED|PAYCHARGED|RANGE|688.500000|-18.75|88.75|70|N
DE102920VENLINE04,69,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,63.5,6.35,1000,N,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,CONNECTICUT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|UNDERCHARGED|PAYCALCULATED|RANGE|688.500000|-3.5|63.5|60|N
DE102920VENLINE04,70,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,75,7,1000,N,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,FLORIDA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|OVERCHARGED|PAYCHARGED|RANGE|688.500000|5.0|70.0|75|N
DE102920VENLINE04,71,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,60,6,1000,N,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,MARYLAND,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|OVERCHARGED|PAYCALCULATED|RANGE|688.500000|15.0|60.0|75|N
DE102920VENLINE04,72,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,160,6,1000,N,,"SALES|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|OVERCHARGED|PAYCHARGEDACCRCREDIT|RANGE|688.500000|100.0|60.0|160|N
